,all,q_val.all,LFC.all,C,q_val.C,LFC.C,PS,q_val.PS,LFC.PS,P,q_val.P,LFC.P,means,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV37,FALSE,0.831376467,0.011729295,TRUE,0.028597596,0.138824265,FALSE,0.99364538,-0.000409146,FALSE,0.826102703,-0.036602864,0.001139076,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,Pseudohongiella,ASV37,Pseudohongiella
ASV38,FALSE,0.287568081,0.075407094,NA,NA,NA,TRUE,0.015813947,0.33250191,NA,NA,NA,0.000604644,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,Phaeodactylibacter,ASV38,Phaeodactylibacter
ASV39,TRUE,0.003154978,0.251187867,TRUE,3.51E-06,0.218527383,TRUE,0.008770749,0.422321873,FALSE,0.440043885,0.179338716,0.000700874,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Pyruvatibacter,Pyruvatibacter,ASV39,Pyruvatibacter
ASV40,NA,NA,NA,NA,NA,NA,FALSE,0.518020413,0.343888419,NA,NA,NA,0.000510433,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV40,Algoriphagus
ASV41,FALSE,0.683070848,-0.021023535,FALSE,0.80922242,0.01857671,NA,NA,NA,FALSE,0.789702315,0.053210083,0.00047654,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Mf105b01,NA,ASV41,Mf105b01 [family: Parvibaculaceae]
ASV42,FALSE,0.272979959,-0.102350857,NA,NA,NA,FALSE,0.070923108,-0.086244829,FALSE,0.574205065,-0.147659272,0.000468686,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,ASV42,[family: Rhizobiaceae]
ASV43,FALSE,0.288000044,-0.198922432,FALSE,0.80922242,-0.083845497,FALSE,0.069974464,-0.522575589,FALSE,0.826102703,0.076278162,0.00042703,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV43,Phocaeicola (Bacteroides)
ASV44,TRUE,0.003891965,0.182692003,TRUE,1.90E-06,0.542967003,TRUE,0,0.058655721,NA,NA,NA,0.00019714,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,NA,ASV44,Magnetospira
ASV45,FALSE,0.395263219,0.122919921,TRUE,0.029322546,0.498907038,FALSE,0.130868622,-0.315390183,FALSE,0.440043885,0.251867278,0.000217595,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV45,Faecalibacterium
ASV46,FALSE,0.287568081,-0.17010493,FALSE,0.920322096,-0.02346035,FALSE,0.19627435,-0.305206722,FALSE,0.789702315,-0.115023348,0.00026708,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV46,Faecalibacterium
ASV47,FALSE,0.388904836,-0.136789011,NA,NA,NA,FALSE,0.706249487,0.103058148,FALSE,0.214346161,-0.529414999,0.000475207,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV47,Prevotella
ASV48,FALSE,0.152254677,-0.178521194,NA,NA,NA,TRUE,0.034132029,-0.437003072,FALSE,0.987408769,-0.002307134,0.000307872,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,NA,ASV48,Cohaesibacter
ASV49,FALSE,0.775915865,0.035147977,FALSE,0.341612189,0.274093573,NA,NA,NA,FALSE,0.402947915,-0.220406309,0.000215737,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV49,Phocaeicola (Bacteroides)
ASV5,FALSE,0.161427017,-0.152889755,FALSE,0.598778675,-0.062306228,TRUE,1.29E-12,-0.277435338,FALSE,0.320164562,-0.052303328,0.132872026,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV5,[family: Cryomorphaceae]
ASV50,FALSE,0.24789644,-0.141512563,FALSE,0.598778675,-0.176283281,FALSE,0.152825563,-0.208223198,NA,NA,NA,0.000133778,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,ASV50,Acinetobacter
ASV51,FALSE,0.561154637,0.069746628,FALSE,0.726724176,0.07667445,FALSE,0.881965182,0.041874204,FALSE,0.522110126,0.157315602,0.000150968,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV51,Blautia
ASV52,FALSE,0.287568081,0.123960556,NA,NA,NA,FALSE,0.652246451,-0.113926035,TRUE,0.035501935,0.473457861,0.000198583,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter,ASV52,Agathobacter
ASV53,NA,NA,NA,NA,NA,NA,FALSE,0.718186467,-0.098477827,NA,NA,NA,0.000120111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA,ASV53,Donghicola
ASV54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012742,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,ASV54,Lactobacillus
ASV55,NA,NA,NA,FALSE,0.697733635,0.074998765,NA,NA,NA,FALSE,0.508085154,-0.175362033,0.000181406,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV55,Faecalibacterium
ASV57,FALSE,0.922546911,-0.006915795,FALSE,0.664423178,0.067055132,FALSE,0.919758001,0.025469513,NA,NA,NA,0.000105772,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA,ASV57,[family: NS11-12 marine group]
ASV58,FALSE,0.775915865,0.02834149,FALSE,0.618414431,0.081444478,NA,NA,NA,FALSE,0.558594091,0.15983252,0.000144435,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,Faecalibacterium,ASV58,Faecalibacterium (Subdoligranulum)
ASV59,FALSE,0.186625758,-0.137647483,FALSE,0.70615318,-0.079015824,FALSE,0.101473442,-0.293895414,NA,NA,NA,9.29E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV59,Bacteroides
ASV6,FALSE,0.207378707,-0.049293118,FALSE,0.871337665,0.009237139,TRUE,0.019535359,-0.087580516,FALSE,0.970492751,-0.002911606,0.057506545,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV6,Roseibium (Labrenzia) 
ASV60,FALSE,0.483788034,-0.069598626,NA,NA,NA,FALSE,0.99364538,0.002442422,FALSE,0.447622271,-0.234435555,0.000148647,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV60,Bacteroides
ASV61,NA,NA,NA,FALSE,0.341612189,-0.207386299,NA,NA,NA,NA,NA,NA,0.000106023,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV61,Bacteroides
ASV62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.789702315,-0.075461623,0.000124862,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia/Shigella,ASV62,Escherichia-Shigella
ASV63,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.447622271,-0.193694283,0.000130196,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV63,Prevotella
ASV65,NA,NA,NA,TRUE,0,0.209883895,FALSE,0.934635297,0.019134932,NA,NA,NA,8.94E-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia,ASV65,Roseburia
ASV66,FALSE,0.152254677,-0.1353256,FALSE,0.246778009,-0.187851331,NA,NA,NA,FALSE,0.789702315,-0.083268069,0.000121092,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia,ASV66,Akkermansia
ASV69,NA,NA,NA,FALSE,0.598778675,-0.102209738,NA,NA,NA,NA,NA,NA,8.12E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV69,Bacteroides
ASV7,TRUE,1.25E-05,-0.417889832,TRUE,3.65E-06,-0.398488859,TRUE,0.001521145,-0.170393133,TRUE,0.005726185,-0.618163134,0.047589483,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV7,Thalassospira
ASV70,FALSE,0.067700072,-0.174863708,FALSE,0.05986315,-0.416326884,NA,NA,NA,NA,NA,NA,7.45E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudohoeflea,Pseudohoeflea,ASV70,Pseudohoeflea
ASV71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.789702315,0.072802972,8.53E-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV71,Blautia
ASV74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV74,Prevotella
ASV79,NA,NA,NA,NA,NA,NA,FALSE,0.599474722,0.148203813,NA,NA,NA,6.85E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobaculum,Pararhodobacter,ASV79,Pararhodobacter (Rhodobaculum)
ASV8,TRUE,0.008195152,-0.149346608,FALSE,0.599015783,-0.021159963,FALSE,0.062538804,-0.191682744,TRUE,0.018920557,-0.168572746,0.035825453,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga,ASV8,Methylophaga
ASV9,FALSE,0.287568081,0.069740404,TRUE,1.38E-07,0.333227097,TRUE,0.000391072,-0.212416985,TRUE,9.62E-05,0.155035471,0.053478487,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV9,Algoriphagus
