,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV37,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,Pseudohongiella,ASV37,Pseudohongiella
ASV38,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,Phaeodactylibacter,ASV38,Phaeodactylibacter
ASV39,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Pyruvatibacter,Pyruvatibacter,ASV39,Pyruvatibacter
ASV40,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV40,Algoriphagus
ASV41,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Mf105b01,NA,ASV41,Mf105b01 [family: Parvibaculaceae]
ASV42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,ASV42,[family: Rhizobiaceae]
ASV43,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV43,Phocaeicola (Bacteroides)
ASV44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,NA,ASV44,Magnetospira
ASV45,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV45,Faecalibacterium
ASV46,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV46,Faecalibacterium
ASV47,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV47,Prevotella
ASV48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,NA,ASV48,Cohaesibacter
ASV49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV49,Phocaeicola (Bacteroides)
ASV50,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,ASV50,Acinetobacter
ASV51,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV51,Blautia
ASV52,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter,ASV52,Agathobacter
ASV53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA,ASV53,Donghicola
ASV54,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,ASV54,Lactobacillus
ASV55,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV55,Faecalibacterium
ASV57,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA,ASV57,[family: NS11-12 marine group]
ASV58,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,Faecalibacterium,ASV58,Faecalibacterium (Subdoligranulum)
ASV59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV59,Bacteroides
ASV60,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV60,Bacteroides
ASV61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV61,Bacteroides
ASV62,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia/Shigella,ASV62,Escherichia-Shigella
ASV63,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV63,Prevotella
ASV65,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia,ASV65,Roseburia
ASV66,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia,ASV66,Akkermansia
ASV69,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV69,Bacteroides
ASV70,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudohoeflea,Pseudohoeflea,ASV70,Pseudohoeflea
ASV71,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV71,Blautia
ASV74,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV74,Prevotella
ASV79,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobaculum,Pararhodobacter,ASV79,Pararhodobacter (Rhodobaculum)
